log10(E/GeV),Zenith[deg],direction
2.9,103.86,up-going
3.13,125.521,up-going
4.7,66.652,down-going
3.02,121.334,up-going
3.26,95.023,up-going
6.33,49.896,down-going
3.02,122.864,up-going
2.85,115.342,up-going
2.96,100.734,up-going
2.66,162.823,up-going
3.32,120.778,up-going
4.58,46.082,down-going
4.9,40.575,down-going
3.27,120.558,up-going
4.35,64.345,down-going
3.85,147.728,up-going
4.89,37.23,down-going
3.09,135.585,up-going
3.79,118.833,up-going
4.48,27.894,down-going
2.88,108.104,up-going
3.06,146.255,up-going
2.84,144.864,up-going
3.13,121.349,up-going
3.02,113.678,up-going
5.45,40.068,down-going
3.01,119.323,up-going
5.4,25.308,down-going
4.41,73.393,down-going
3.39,108.486,up-going
3.55,117.17,up-going
2.92,98.682,up-going
4.17,80.068,down-going
4.74,62.278,down-going
4.66,53.112,down-going
4.51,68.466,down-going
2.64,102.522,up-going
5.56,50.603,down-going
4.85,33.023,down-going
3.0,103.123,up-going
3.44,88.659,down-going
5.27,32.919,down-going
2.92,109.783,up-going
3.14,89.266,down-going
2.88,146.937,up-going
3.01,144.191,up-going
4.77,78.338,down-going
4.48,75.943,down-going
2.84,109.07,up-going
5.02,64.899,down-going
3.05,123.276,up-going
2.92,155.267,up-going
2.95,104.46,up-going
3.21,112.386,up-going
4.45,6.554,down-going
4.38,76.127,down-going
3.29,125.113,up-going
4.81,56.683,down-going
4.68,69.178,down-going
2.92,105.098,up-going
5.36,42.904,down-going
4.64,67.87,down-going
4.87,54.709,down-going
2.94,94.803,up-going
3.2,89.324,down-going
2.73,173.327,up-going
3.04,102.455,up-going
3.41,106.685,up-going
3.23,96.45,up-going
3.0,134.376,up-going
3.28,155.582,up-going
2.98,108.977,up-going
2.93,165.118,up-going
2.91,139.975,up-going
2.94,160.641,up-going
3.35,101.79,up-going
4.81,63.363,down-going
2.79,146.516,up-going
2.86,92.985,up-going
2.93,89.391,down-going
3.08,111.809,up-going
2.93,100.435,up-going
4.87,67.744,down-going
5.05,67.895,down-going
4.09,79.817,down-going
2.97,100.676,up-going
2.76,110.444,up-going
3.43,157.177,up-going
3.14,82.953,down-going
3.05,128.989,up-going
3.05,101.69,up-going
2.97,100.471,up-going
4.73,68.556,down-going
2.68,97.175,up-going
2.95,97.878,up-going
2.93,152.281,up-going
3.14,118.718,up-going
4.96,37.205,down-going
3.46,121.275,up-going
4.57,13.865,down-going
3.11,170.19,up-going
2.87,100.441,up-going
2.98,128.952,up-going
3.01,112.336,up-going
2.97,160.97,up-going
3.07,112.377,up-going
2.9,92.806,up-going
2.79,138.801,up-going
2.95,125.239,up-going
2.84,139.27,up-going
3.24,123.347,up-going
3.2,93.211,up-going
3.55,93.847,up-going
2.77,103.617,up-going
3.22,125.393,up-going
4.49,30.279,down-going
2.78,95.865,up-going
3.56,145.728,up-going
2.68,137.448,up-going
5.22,59.065,down-going
3.02,142.738,up-going
3.19,141.851,up-going
3.39,97.813,up-going
4.48,73.552,down-going
2.86,112.587,up-going
3.17,84.814,down-going
4.15,15.905,down-going
4.96,24.259,down-going
5.15,36.043,down-going
2.83,141.043,up-going
2.95,85.745,down-going
5.57,33.017,down-going
2.96,90.603,up-going
3.05,96.325,up-going
5.11,61.713,down-going
5.7,52.634,down-going
2.89,157.717,up-going
2.95,88.243,down-going
2.85,91.25,up-going
3.1,94.082,up-going
3.28,145.36,up-going
5.62,56.604,down-going
2.94,169.558,up-going
3.15,144.788,up-going
4.98,36.55,down-going
4.59,17.597,down-going
5.61,38.005,down-going
5.07,39.046,down-going
4.67,61.887,down-going
3.81,135.245,up-going
2.85,106.931,up-going
4.68,57.855,down-going
5.58,56.67,down-going
3.32,114.103,up-going
3.34,87.861,down-going
4.39,71.449,down-going
2.6,175.349,up-going
3.09,113.008,up-going
2.92,95.843,up-going
4.23,78.271,down-going
2.96,142.198,up-going
2.87,116.929,up-going
2.86,112.31,up-going
3.14,110.376,up-going
3.4,90.391,up-going
2.82,117.847,up-going
4.67,72.054,down-going
3.17,94.319,up-going
2.88,106.673,up-going
3.02,128.626,up-going
3.01,96.573,up-going
2.97,96.083,up-going
4.23,77.205,down-going
2.7,120.066,up-going
2.84,128.99,up-going
4.77,67.579,down-going
4.85,45.067,down-going
2.83,90.801,up-going
3.16,89.517,down-going
3.2,89.51,down-going
2.87,143.379,up-going
2.78,113.138,up-going
5.09,32.581,down-going
2.86,97.687,up-going
2.96,91.936,up-going
4.97,59.349,down-going
3.15,153.817,up-going
3.2,106.362,up-going
2.97,133.513,up-going
4.69,44.019,down-going
4.31,47.358,down-going
3.25,90.895,up-going
3.05,102.78,up-going
4.54,65.218,down-going
4.48,69.389,down-going
3.19,115.754,up-going
5.06,35.449,down-going
3.18,96.081,up-going
4.87,41.536,down-going
3.11,111.736,up-going
4.88,62.521,down-going
2.73,94.346,up-going
2.75,151.822,up-going
2.9,84.51,down-going
3.81,85.726,down-going
4.91,53.549,down-going
4.48,66.81,down-going
2.9,130.618,up-going
2.92,105.245,up-going
2.94,106.702,up-going
2.93,155.682,up-going
4.74,52.858,down-going
3.23,86.501,down-going
1.85,111.61,up-going
4.51,73.144,down-going
2.71,96.812,up-going
2.95,91.399,up-going
4.48,73.042,down-going
2.83,106.073,up-going
4.86,32.227,down-going
2.83,126.166,up-going
3.15,125.303,up-going
3.3,129.042,up-going
3.14,107.661,up-going
3.27,110.514,up-going
2.98,130.148,up-going
3.16,86.535,down-going
3.09,92.33,up-going
2.94,104.254,up-going
3.18,95.835,up-going
3.1,156.135,up-going
4.99,37.803,down-going
2.96,116.917,up-going
2.91,91.989,up-going
5.22,56.131,down-going
2.84,93.634,up-going
2.87,95.739,up-going
4.92,37.242,down-going
2.99,87.157,down-going
2.49,118.05,up-going
4.4,73.383,down-going
2.49,102.772,up-going
2.88,121.524,up-going
3.42,90.787,up-going
4.9,61.174,down-going
2.68,106.098,up-going
2.62,144.046,up-going
2.98,91.451,up-going
3.0,102.751,up-going
3.07,100.659,up-going
2.98,121.11,up-going
2.92,97.051,up-going
2.97,168.927,up-going
3.16,113.131,up-going
2.88,115.113,up-going
2.68,137.342,up-going
2.97,95.834,up-going
3.29,87.458,down-going
2.87,147.309,up-going
2.71,127.951,up-going
3.37,133.19,up-going
2.91,110.271,up-going
2.92,107.265,up-going
2.54,98.365,up-going
2.98,118.515,up-going
3.09,105.129,up-going
4.7,28.054,down-going
4.6,51.176,down-going
2.97,98.14,up-going
2.51,100.804,up-going
5.03,51.843,down-going
2.89,117.999,up-going
2.85,116.119,up-going
4.79,14.739,down-going
4.48,6.711,down-going
5.91,61.54,down-going
5.19,36.231,down-going
4.13,71.518,down-going
2.95,103.054,up-going
5.28,38.509,down-going
3.93,79.273,down-going
4.54,69.854,down-going
2.79,155.471,up-going
5.44,58.038,down-going
2.97,117.612,up-going
5.0,22.154,down-going
3.06,90.404,up-going
4.59,51.139,down-going
2.8,108.212,up-going
3.48,135.217,up-going
5.29,62.983,down-going
4.65,67.284,down-going
4.79,47.124,down-going
5.01,59.013,down-going
3.52,87.931,down-going
2.93,104.973,up-going
3.07,91.009,up-going
3.05,119.529,up-going
2.83,138.726,up-going
3.18,98.132,up-going
3.29,97.282,up-going
2.72,92.365,up-going
2.88,127.799,up-going
3.07,111.056,up-going
4.78,29.38,down-going
5.42,33.278,down-going
3.04,131.051,up-going
5.57,61.67,down-going
2.86,89.598,down-going
2.93,101.644,up-going
2.88,125.737,up-going
3.49,88.208,down-going
2.92,107.816,up-going
3.04,97.144,up-going
3.03,83.642,down-going
3.11,96.275,up-going
2.81,145.21,up-going
2.88,156.467,up-going
4.84,60.154,down-going
2.97,90.864,up-going
2.76,142.663,up-going
2.98,104.259,up-going
2.93,166.268,up-going
3.01,92.491,up-going
5.39,58.848,down-going
2.79,125.597,up-going
3.19,164.048,up-going
2.57,168.634,up-going
3.2,98.917,up-going
3.39,147.352,up-going
2.97,137.034,up-going
4.7,69.933,down-going
5.04,57.546,down-going
2.85,91.704,up-going
4.93,54.976,down-going
2.97,133.494,up-going
3.67,78.494,down-going
3.19,133.139,up-going
3.19,95.426,up-going
2.87,108.94,up-going
2.83,99.606,up-going
2.9,93.295,up-going
4.62,54.058,down-going
2.72,108.987,up-going
3.32,91.616,up-going
4.89,34.746,down-going
4.53,31.327,down-going
3.38,103.013,up-going
3.16,138.935,up-going
3.05,94.166,up-going
2.53,165.634,up-going
2.89,107.28,up-going
5.43,35.583,down-going
2.99,157.969,up-going
3.04,120.98,up-going
