energy,reconstruction,type
44729.695,Shower,shower
101722.3,Shower,shower
67136.5,Track,shower
144204.58,Shower,shower
29600.297,Shower,shower
19719.76,Track,shower
55321.05,Shower,shower
83561.04,Shower,shower
79761.805,Shower,shower
78448.91,Shower,shower
255581.23,Track,shower
942578.4,Shower,shower
53827.46,Shower,shower
27114.434,Shower,shower
173575.6,Shower,shower
33121.773,Track,shower
64047.215,Shower,shower
1193096.9,Shower,shower
27355.457,Shower,shower
194737.84,Shower,shower
81364.59,Track,shower
26638.078,Shower,shower
35887.84,Shower,shower
168316.34,Shower,shower
51042.066,Shower,shower
47699.125,Track,shower
29447.152,Shower,shower
121181.914,Shower,shower
35328.402,Shower,shower
302198.4,Shower,shower
40240.477,Shower,shower
2074963.1,Shower,shower
25469.158,Shower,shower
24099.504,Track,shower
167372.55,Track,shower
94405.83,Shower,shower
138372.14,Shower,shower
73717.01,Shower,shower
29446.205,Shower,shower
70793.59,Track,shower
320395.72,Track,shower
136868.19,Shower,shower
62983.625,Shower,shower
99209.82,Shower,shower
55050.207,Shower,shower
20261.828,Shower,shower
57254.07,Shower,shower
138347.9,Shower,shower
45508.66,Shower,shower
103131.61,Shower,shower
130239.625,Shower,shower
45785.402,Track,shower
115706.945,Shower,shower
89675.95,Shower,shower
66139.38,Shower,shower
36936.973,Shower,shower
83366.85,Shower,shower
155958.45,Shower,shower
61357.676,Shower,shower
91619.81,Shower,shower
70205.95,Track,shower
34811.117,Shower,shower
36494.023,Track,shower
153763.84,Shower,shower
117867.22,Track,shower
37655.09,Track,shower
52165.926,Track,shower
153956.95,Shower,shower
73313.586,Shower,shower
98539.805,Track,shower
120964.31,Track,shower
48104.13,Shower,shower
671565.5,Shower,shower
51954.547,Shower,shower
138992.25,Track,shower
106564.13,Track,shower
45206.45,Track,shower
113203.33,Track,shower
140401.55,Shower,shower
73818.21,Track,shower
66473.22,Shower,shower
36461.684,Shower,shower
48530.402,Shower,shower
261229.53,Shower,shower
167028.28,Shower,shower
41262.31,Track,shower
236634.44,Shower,shower
57284.254,Track,shower
82136.3,Shower,shower
43450.32,Shower,shower
43242.33,Track,shower
138466.7,Shower,shower
46260.258,Shower,shower
34814.184,Shower,shower
390925.72,Shower,shower
191389.53,Shower,shower
28022.006,Shower,shower
97459.13,Shower,shower
61788.05,Track,shower
38110.426,Shower,shower
23468.701,Track,shower
108144.37,Shower,shower
101925.27,Shower,shower
36469.598,Shower,shower
133852.78,Shower,shower
76484.56,Track,shower
208503.4,Shower,shower
148019.58,Shower,shower
58908.6,Track,shower
50441.312,Shower,shower
414402.8,Shower,shower
43037.96,Shower,shower
25377.516,Track,shower
365926.28,Shower,shower
134191.77,Shower,shower
26185.176,Track,shower
33987.527,Track,shower
38244.44,Track,shower
203453.11,Track,shower
25753.693,Shower,shower
89239.03,Track,shower
4802843.0,Track,shower
27528.482,Track,shower
46130.05,Shower,shower
42278.293,Shower,shower
31206.469,Track,shower
95120.484,Shower,shower
69517.55,Shower,shower
22030.545,Shower,shower
25568.033,Track,shower
29679.123,Shower,shower
80238.47,Track,shower
100457.0,Shower,shower
30686.086,Shower,shower
114839.83,Shower,shower
110755.61,Track,shower
29550.717,Track,shower
22744.613,Track,shower
100079.164,Shower,shower
36993.34,Shower,shower
26971.697,Shower,shower
80878.84,Track,shower
35978.91,Shower,shower
112262.16,Track,shower
78845.49,Track,shower
158442.8,Track,shower
37913.48,Track,shower
98995.1,Shower,shower
44247.86,Track,shower
98114.836,Shower,shower
33534.773,Shower,shower
76622.49,Track,shower
71863.92,Track,shower
35731.258,Shower,shower
55166.504,Shower,shower
27625.223,Shower,shower
111455.51,Track,shower
67618.01,Track,shower
25492.299,Track,shower
70391.586,Shower,shower
104558.42,Shower,shower
501922.56,Shower,shower
54084.098,Shower,shower
122475.13,Shower,shower
